EstablecimientoCodigo;EstablecimientoGlosa;RegionCodigo;RegionGlosa;ComunaCodigo;ComunaGlosa;ServicioSaludCodigo;ServicioSaludGlosa;TipoEstablecimiento;DependenciaAdministrativa;NivelAtencion;TipoUrgencia;Latitud;Longitud;NivelComplejidad;Anio;SemanaEstadistica;OrdenCausa;Causa;NumTotal;NumMenor1Anio;Num1a4Anios;Num5a14Anios;Num15a64Anios;Num65oMas;FechaAtencionTexto;SexoPaciente;PrioridadTriage;CostoAtencionCLP
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH)  ;-184.783;-703.126;Alta Complejidad;2023;1;1;Influenza y neumonia;201;19;21;27;87;47;02-01-2023;M;C5;85725.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;1;2;Infeccion respiratoria aguda alta;193;14;25;30;106;18;02-01-2023;M;C3;85238.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;1;3;Bronquitis/Bronquiolitis aguda;94;18;19;23;28;6;02-01-2023;M;C3;100570.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;1;4;Crisis asmática;74;3;11;17;35;8;02-01-2023;M;C4;72941.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;1;5;Insuficiencia respiratoria aguda;132;5;5;3;61;58;02-01-2023;F;C2;114833.0
110901;Hospital Regional de Arica Dr. Juan Noe;15;Arica y Parinacota;15101;Arica;1;Servicio de Salud Arica;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-184.783;-703.126;Alta Complejidad;2023;1;6;COVID-19 sospecha/confirmada;64;1;6;12;33;12;02-01-2023;F;C4;76666.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;1;1;Influenza y neumonia;70;4;7;10;34;15;02-01-2023;M;C3;164831.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;HOSPITALARIA (UEH);-330.245;-715.518;Alta Complejidad;2023;1;2;Infeccion respiratoria aguda alta;88;10;14;17;31;16;02-01-2023;F;C2;86790.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;1;3;Bronquitis/Bronquiolitis aguda;115;43;23;18;27;4;02.01.23;M;C4;102224.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;1;4;Crisis asmática;159;15;21;45;61;17;02-01-2023;F;C5;87753.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;1;5;Insuficiencia respiratoria aguda;151;5;10;11;60;65;02-01-2023;M;C4;112756.0
130215;Hospital Dr. Gustavo Fricke;5;Valparaiso;5109;Vina del Mar;5;Servicio de Salud Vina del Mar-Quillota;Hospital;Servicio de Salud;Terciario;Hospitalaria (UEH);-330.245;-715.518;Alta Complejidad;2023;1;6;COVID-19 sospecha/confirmada;149;9;20;31;62;27;02-01-2023;F;C2;138443.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;1;1;Influenza y neumonia;155;10;10;25;71;39;02-01-2023;F;C4;103213.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;1;2;Infeccion respiratoria aguda alta;103;11;12;20;44;16;02-01-2023;F;C2;83499.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;1;3;Bronquitis/Bronquiolitis aguda;69;26;18;11;10;4;02-01-2023;F;C1;129193.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;1;4;Crisis asmática;58;2;6;21;25;4;02-01-2023;F;C4;103291.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;1;5;Insuficiencia respiratoria aguda;132;3;6;1;55;67;02-01-2023;M;C4;130794.0
131450;SAR La Reina;13;Metropolitana;13115;La Reina;9;Servicio de Salud Metropolitano Oriente;Centro de Salud;Municipal;Primario;Ambulatoria (SAR);-334.429;-705.477;Baja Complejidad;2023;1;6;COVID-19 sospecha/confirmada;113;6;10;22;51;24;02-01-2023;M;C3;89594.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;1;1;Influenza y neumonia;185;14;13;24;86;48;02-01-2023;M;C2;119389.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;1;2;Infeccion respiratoria aguda alta;153;9;16;27;76;25;02-01-2023;F;C2;141369.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;1;3;Bronquitis/Bronquiolitis aguda;105;30;24;23;23;5;02-01-2023;M;C3;64321.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;1;4;Crisis asmática;130;7;16;31;64;12;02-01-2023;M;C5;92937.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;1;5;Insuficiencia respiratoria aguda;110;2;3;9;47;49;02-01-2023;M;C3;52807.0
131622;SAPU Pudahuel Sur;13;Metropolitana;13126;Pudahuel;8;Servicio de Salud Metropolitano Occidente;Centro de Salud;Municipal;Primario;Ambulatoria (SAPU);-334.372;-707.766;Baja Complejidad;2023;1;6;COVID-19 sospecha/confirmada;107;12;11;21;44;19;02-01-2023;M;C2;111458.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;1;1;Influenza y neumonia;61;8;8;6;23;16;02-01-2023;F;C5;119633.0
910333;Hospital Regional de Temuco;9;La Araucania;9101;Temuco;13;Servicio de Salud Araucania Sur;Hospital;Servicio de Salud;Terciario;Urgencia Hospitalaria Especializada;-387.397;-725.984;Alta Complejidad;2023;1;2;Infeccion respiratoria aguda alta;152;18;17;26;57;34;02-01-2023;M;C2;72830.0
